#Records Breached,#Total Records,% Record Breach,Show Data By Calc,City,Company,Date Made Public,Description of incident,Information Source,Location,Number of Records,Records Breached,Source URL,State,Total Records,Type of breach,Type of organization
,,,Statewise Representation,,,,,,,1,,,,,DISC,
,,,Statewise Representation,,,,,,,1,,,,,DISC,
,,,Statewise Representation,,,,,,,1,,,,,DISC,
,,,Statewise Representation,,,,,,,1,,,,,HACK,
,,,Statewise Representation,,,,,,,1,,,,,UNKN,
441,,,Statewise Representation,Hayden,Hospice of North Idaho (HONI),1/2/2013,"The June 2010 theft of an unencrypted laptop from an employee's car resulted in the exposure of patient information.  The HHS Office for Civil Rights investigated the breach and found that HONI had not conducted a risk analysis to safeguard electronic protected health information.  It was also discovered that HONI did not meet a HIPAA Security Rule that required them to have policies or procedures in place to address mobile device security.  HONI agreed to pay the U.S. Department of Health and Human Services' (HHS) $50,000 regarding potential Health Insurance Portability and Accountability Act of 1996 Security Rule violations.  HONI also began taking extensive steps to improve their HIPAA Privacy and Security compliance program since the June 2010 breach.",PHIPrivacy.net,"Hayden, Idaho",1,441 (No SSNs or financial information reported),,Idaho,Unknown,PORT,MED
,,,Statewise Representation,Mission Laguna Beach,"Mission Hospital, St. Joseph Health",1/3/2013,"Someone called Mission Hospital on August 28, 2012 and claimed that he found a flash drive with sensitive patient information in his garage.  The flash drive was returned to Mission Hospital via mailed envelope on September 11, 2012.  Patients who received services at Mission Hospital between September and November of 2008 may have had their information exposed. The notice that was sent to patients was dated September 14, 2012.  It appears that a contractor or employee misplaced the unencrypted flash drive.The flash drive contained names, medical record numbers, and account numbers. Additionally, the flash drive may have contained some combination of date of admission, age, birth date, vital readings, physical examination, gender, race, name of physician, medical history, past and current treatment and illnesses, history of substance use, family history, lab tests and results, imaging tests and results, body weight, physician notes on patient, care plan, employment status and employer, prognosis, diagnosis, treatment recommendations, allergies, medications, comments about patient's appearance, patient health complaint, symptoms, reason for referral, and reason for admission information.",PHIPrivacy.net,"Mission Laguna Beach, California",1,Unknown,,California,Unknown,PORT,MED
13619,13619,100,Statewise Representation,Owensboro,King Drug & Home Care,1/3/2013,"An employee reported that a portable hard drive was missing on November 23, 2010.  The device had last been seen sometime around November 19.  The data on the device included information from before July 31, 2009.  Client names, Social Security numbers, medical record numbers, account numbers, dates of service, race, insurance carriers and insurance numbers, addresses, phone numbers, sex, dates of birth, diagnosis information, allergies, initial referral forms, patient assessments/plans of care, physician orders and/or delivery ticket information may have been on the hard drive.",PHIPrivacy.net,"Owensboro, Kentucky",1,"13,619",,Kentucky,"13,619",PORT,MED
,,,Statewise Representation,Jacksonville,Healing Hearts,1/4/2013,"The owner of a group of childcare services pleaded guilty to defrauding Medicaid of $8 million.  She and a co-defendant targeted medicaid recipients in order to enroll them in a program and make fraudulent Medicaid claims for mental and behavioral health services.  Additionally, the owner pleaded guilty to misusing at least one therapist's credentials in order to make the claims for mental and behavioral health services.  The scheme took place between 2008 and 2012.",California Attorney General,"Jacksonville, North Carolina",1,Unknown,,North Carolina,Unknown,INSD,MED
,,,Statewise Representation,Woodbury,Woodwinds Hospital,1/7/2013,An employee kept 200 pages of confidential information in an effort to prove that Woodwinds Hospital was trying to conceal evidence of medical misconduct.  The employee was discharged in 2010 for reasons unrelated to removing the information.  She claims to have taken them home after being ordered to destroy any information related to incidents that could damage Woodwinds Hospital's reputation.,PHIPrivacy.net,"Woodbury, Minnesota",1,Unknown,,Minnesota,Unknown,INSD,MED
532,,,Statewise Representation,Reedley,Office of Dr. Calvin L. Schuster,1/7/2013,"A computer was stolen during an office burglary that occurred sometime around November 5, 2012.  The computer contained patient names, dates of birth, and a minimal amount of patient medical information.",California Attorney General,"Reedley, California",1,532 (No SSNs or financial information reported),,California,Unknown,STAT,MED
,,,Statewise Representation,Austin,Texas Department of Health and Human Services,1/8/2013,A dishonest employee was arrested on suspicion of misusing client information to apply for credit cards.  The dishonest employee was able to pose as different clients seeking immunizations and other services.  She was charged with fraudulent use or possession of identifying information and credit card abuse.  UPDATE (01/31/2013): The employee was working for the Northeast Texas Public Health district when she was arrested for stealing the identities of patients at a clinic in Mount Pleasant.  She began working in the Texas Department of State Health Services clinic in 2008.,PHIPrivacy.net,"Austin, Texas",1,Unknown,,Texas,Unknown,INSD,MED
,,,Statewise Representation,Aurora,Office of Dr. Sandra Bujanda-Wagner,1/10/2013,"Employees accidentally threw out hundreds of patient records.  The dental records were found by someone looking through a dumpster and the incident was reported to a local news team.  Names, Social Security numbers, dates of birth and addresses were exposed. Employees from Bujanda-Wagner's office came to recover the documents.",PHIPrivacy.net,"Aurora, Colorado",1,Unknown,,Colorado,Unknown,PHYS,MED
100000,,,Statewise Representation,Tallahassee,Florida Department of Juvenile Justice,1/12/2013,"On September 6, 2012 it was reported that three computers that contained information from the Florida Department of Juvenile Justice were stolen from an apartment site earlier in the week.  A television was also taken at the time of the theft.UPDATE (01/12/2013): At least one of the devices was neither encrypted nor password protected and held the personal information of over 100,000 youth and employees.",Databreaches.net,"Tallahassee, Florida",1,"100,000 (No SSNs or financial information reported)",,Florida,Unknown,STAT,MED
6000,,,Statewise Representation,Salt Lake City,"Utah Department of Health, Goold Health Systems",1/16/2013,"An employee of Goold Health Systems lost an unencrypted USB memory stick that contained the information of around 6,000 Medicaid recipients in Utah.  Goold Health Systems is a contractor for the Utah Department of Health.  Medicaid recipient names, Medicaid identification numbers, ages, and recent prescription drug use were on the memory stick.  The memory stick was lost during travel between Salt Lake City, Denver, and Washington.  The loss was confirmed on Tuesday, January 15.  ",Media,"Salt Lake City, Utah",1,"6,000 (No SSNs or financial information reported)",,Utah,Unknown,PORT,MED
2988,2988,100,Statewise Representation,La Grange,St. Mark's Medical Center,1/17/2013,"An employee's computer was found to contain malware.  The malware infection began on May 21, 2012 and was discovered on November 15, 2012.  Files stored on the computer contained billing information with patient names, Social Security numbers, account numbers, medical record numbers, dates of birth, gender, treatment dates, insurance provider names, and account balances.",PHIPrivacy.net,"La Grange, Texas",1,"2,988",,Texas,"2,988",HACK,MED
,,,Statewise Representation,Palo Alto,"Stanford School of Medicine, Lucile Packard Children's Hospital",1/18/2013,"The January 9 theft of a laptop from a physician's car may have exposed sensitive information.  The laptop may have contained some combination of patient names, dates of birth, and contact information.UPDATE (01/22/2013): A total of 57,000 patients are being notified. Medical information and medical record numbers were exposed.  A limited number of patients had their contact information exposed.  Most of the information on the laptop was from 2009.",California Attorney General,"Palo Alto, California",1,Unknown,,California,Unknown,PORT,MED
,,,Statewise Representation,Rockville,NECA/IBEW Family Medical Care Plan,1/22/2013,NECA/IBEM Family Medical Care Plan (FMCP) participants received disclosure documents related to benefits coverage and modifications.  The outside of the envelopes in which the documents arrived displayed participant Social Security numbers.,California Attorney General,"Rockville, Maryland",1,Unknown,,Maryland,Unknown,DISC,MED
261,261,100,Statewise Representation,Jacksonville,Brentwood Primary Care Clinic,1/24/2013,A dishonest intern was caught using a cell phone to illegally photograph patient Social Security numbers and names.  The photos were then sent to another person; presumably for fraudulent activity.  The office intern was charged with fraudulent use of personal identification information. It is unclear when the breach was discovered since the photos were taken between May 7 and June 19.,PHIPrivacy.net,"Jacksonville, Florida",1,261,,Florida,261,INSD,MED
